id,member_id,start_date,end_date,status,equifax_rejected_at,braintree_subscription_id,braintree_plan_id,created_at,updated_at,deleted_at,payment_method_id,error_codes,error_messages,equifax_deleted_at,price,error_data,equifax_accepted_at,braintree_discount_id,discount_amount,discount_description,discount_billing_cycles,billing_frequency_in_months,is_mini_service_bundle
1935,1377,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1936,1379,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1937,1403,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1938,1427,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1939,1430,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1940,1432,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1941,1473,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1942,1477,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1943,1507,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1944,1514,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1945,1522,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1946,1552,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1947,1556,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1948,1579,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1949,1609,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1950,1647,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1951,1710,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1952,1791,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1953,1859,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1954,1886,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1955,1891,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1956,1899,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1957,1911,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1958,1952,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1959,1986,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1960,2018,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1961,2059,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1962,2092,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1963,2100,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1964,2109,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1965,2230,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1966,2250,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1967,2259,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1968,2276,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1969,2297,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
