uuid,CRM_Desription
eeb18159-2a1d-4a1d-a062-f86272dcdf8e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
32b69e79-7aad-4c43-bdd1-cae046e7f399,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
82535cba-863b-4641-a2c9-55ecb2e0b468,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
58f2b554-1a60-427c-aa84-9f3be57fec20,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
306c5f90-2b2d-4c75-af98-f5b8d8f21e6a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
9485ebb4-1e0d-4458-9d4c-7ee779c72fb0,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a5c9382b-4206-4fd4-a2b3-b5fe5b981673,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ad5db8e8-a2af-4789-8a08-0d15f23217ca,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c84bcf37-cff9-44d5-b6da-7e104422aff4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
52251433-1408-492f-8c94-dc9c9ef1083b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
57788d48-38b7-4306-b204-3bee6d559021,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
7ee24d39-f5e6-4624-b078-6336cc166bd4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
85a28488-2c8e-4322-847d-c5ec5df5c8d4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
884be95a-b8db-47f1-8e80-81d701a28c28,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b2c44a1b-3fb3-4ed1-a100-fcb13ee4ea70,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
114d62aa-7930-41e3-a45f-38940226f90c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
47bf834a-50c3-46e0-8675-b0b2e2f90e6a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
f45cdb2b-08ca-4369-bdaf-0faf72ed5caa,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5de75b82-3040-49e9-b722-233d95803472,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e569f82f-1218-47ab-bb28-3538202b8ba4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ea3d1a37-5e8b-4145-8997-d6c5b7d59a08,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-25 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
